business_id,mpxn,timestamp,total_consumption,boiler,oven,cooling_freezer,electric_radiator
1,9876543210,2023-07-01 00:00:00,17.82,10.45,6.42,0.51,0.45
1,9876543210,2023-07-01 00:30:00,7.83,4.59,2.82,0.22,0.2
1,9876543210,2023-07-01 01:00:00,16.44,9.64,5.92,0.47,0.41
1,9876543210,2023-07-01 01:30:00,13.97,8.19,5.03,0.4,0.35
1,9876543210,2023-07-01 02:00:00,15.99,9.37,5.76,0.46,0.4
1,9876543210,2023-07-01 02:30:00,14.07,8.25,5.07,0.4,0.35
1,9876543210,2023-07-01 03:00:00,15.08,8.84,5.43,0.43,0.38
1,9876543210,2023-07-01 03:30:00,14.0,8.21,5.04,0.4,0.35
1,9876543210,2023-07-01 04:00:00,15.44,9.05,5.56,0.44,0.39
1,9876543210,2023-07-01 04:30:00,13.76,8.07,4.96,0.39,0.35
1,9876543210,2023-07-01 05:00:00,12.76,7.48,4.6,0.36,0.32
1,9876543210,2023-07-01 05:30:00,12.66,7.42,4.56,0.36,0.32
1,9876543210,2023-07-01 06:00:00,14.1,8.27,5.08,0.4,0.35
1,9876543210,2023-07-01 06:30:00,11.81,6.92,4.25,0.34,0.3
1,9876543210,2023-07-01 07:00:00,9.18,5.38,3.31,0.26,0.23
1,9876543210,2023-07-01 07:30:00,10.89,6.38,3.92,0.31,0.27
1,9876543210,2023-07-01 08:00:00,13.47,7.9,4.85,0.38,0.34
1,9876543210,2023-07-01 08:30:00,17.46,10.24,6.29,0.5,0.44
1,9876543210,2023-07-01 09:00:00,12.76,7.48,4.6,0.36,0.32
1,9876543210,2023-07-01 09:30:00,13.68,8.02,4.93,0.39,0.34
1,9876543210,2023-07-01 10:00:00,6.14,3.6,2.21,0.17,0.15
1,9876543210,2023-07-01 11:00:00,48.39,28.37,17.43,1.38,1.22
1,9876543210,2023-07-01 11:30:00,46.6,27.32,16.78,1.33,1.17
1,9876543210,2023-07-01 12:00:00,48.4,28.38,17.43,1.38,1.22
1,9876543210,2023-07-01 12:30:00,52.63,30.86,18.95,1.5,1.32
1,9876543210,2023-07-01 13:00:00,51.69,30.3,18.62,1.47,1.3
1,9876543210,2023-07-01 14:00:00,31.11,18.24,11.2,0.89,0.78
1,9876543210,2023-07-01 14:30:00,32.2,18.88,11.6,0.92,0.81
1,9876543210,2023-07-01 15:00:00,28.94,16.97,10.42,0.82,0.73
1,9876543210,2023-07-01 15:30:00,29.29,17.17,10.55,0.83,0.74
1,9876543210,2023-07-01 16:00:00,28.14,16.5,10.13,0.8,0.71
1,9876543210,2023-07-01 17:00:00,47.76,28.0,17.2,1.36,1.2
1,9876543210,2023-07-01 17:30:00,42.01,24.63,15.13,1.2,1.06
1,9876543210,2023-07-01 18:00:00,50.18,29.42,18.07,1.43,1.26
1,9876543210,2023-07-01 18:30:00,45.03,26.4,16.22,1.28,1.13
1,9876543210,2023-07-01 19:00:00,43.11,25.27,15.53,1.23,1.08
1,9876543210,2023-07-01 19:30:00,46.04,26.99,16.58,1.31,1.16
1,9876543210,2023-07-01 20:00:00,42.39,24.85,15.27,1.21,1.07
1,9876543210,2023-07-01 20:30:00,46.75,27.41,16.84,1.33,1.17
1,9876543210,2023-07-01 21:00:00,45.55,26.7,16.4,1.3,1.14
1,9876543210,2023-07-01 22:00:00,10.95,6.42,3.94,0.31,0.28
1,9876543210,2023-07-01 22:30:00,9.7,5.69,3.49,0.28,0.24
1,9876543210,2023-07-01 23:00:00,13.78,8.08,4.96,0.39,0.35
1,9876543210,2023-07-02 00:00:00,7.8,4.57,2.81,0.22,0.2
1,9876543210,2023-07-02 00:30:00,9.79,5.74,3.53,0.28,0.25
1,9876543210,2023-07-02 01:00:00,16.98,9.95,6.12,0.48,0.43
1,9876543210,2023-07-02 01:30:00,12.79,7.5,4.61,0.36,0.32
1,9876543210,2023-07-02 02:00:00,11.81,6.92,4.25,0.34,0.3
1,9876543210,2023-07-02 02:30:00,13.92,8.16,5.01,0.4,0.35
1,9876543210,2023-07-02 03:00:00,10.75,6.3,3.87,0.31,0.27
1,9876543210,2023-07-02 03:30:00,11.71,6.87,4.22,0.33,0.29
1,9876543210,2023-07-02 04:00:00,13.55,7.94,4.88,0.39,0.34
1,9876543210,2023-07-02 04:30:00,11.6,6.8,4.18,0.33,0.29
1,9876543210,2023-07-02 05:00:00,7.83,4.59,2.82,0.22,0.2
1,9876543210,2023-07-02 05:30:00,17.02,9.98,6.13,0.48,0.43
1,9876543210,2023-07-02 06:00:00,17.28,10.13,6.22,0.49,0.43
1,9876543210,2023-07-02 06:30:00,13.56,7.95,4.88,0.39,0.34
1,9876543210,2023-07-02 07:00:00,7.53,4.41,2.71,0.21,0.19
1,9876543210,2023-07-02 07:30:00,16.03,9.4,5.77,0.46,0.4
1,9876543210,2023-07-02 08:00:00,6.61,3.88,2.38,0.19,0.17
1,9876543210,2023-07-02 08:30:00,14.43,8.46,5.2,0.41,0.36
1,9876543210,2023-07-02 09:00:00,17.1,10.03,6.16,0.49,0.43
1,9876543210,2023-07-02 09:30:00,8.62,5.05,3.1,0.25,0.22
1,9876543210,2023-07-02 10:00:00,14.29,8.38,5.15,0.41,0.36
1,9876543210,2023-07-02 11:00:00,49.88,29.24,17.96,1.42,1.25
1,9876543210,2023-07-02 11:30:00,43.85,25.71,15.79,1.25,1.1
1,9876543210,2023-07-02 12:00:00,46.13,27.04,16.61,1.31,1.16
